epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.117,2.17505,4.35434,2.01996,0.00709,0.36821,0.10742,0.03321,2.14809,4.64333,1.92624,0.000539324,0.000539324,0.000539324
2,53.6391,1.93431,3.01176,1.78402,0.00743,0.41538,0.10485,0.03837,2.28215,4.45793,1.9129,0.00108415,0.00108415,0.00108415
3,64.6005,1.88616,2.76384,1.74586,0.23513,0.22861,0.09871,0.03762,2.20136,4.29899,2.06926,0.00161797,0.00161797,0.00161797
4,76.5171,1.8444,2.77359,1.8345,0.36649,0.19385,0.14853,0.05949,2.36631,5.20409,2.24939,0.00161749,0.00161749,0.00161749
5,88.9078,1.80052,2.64376,1.76345,0.40749,0.34082,0.34078,0.14218,2.1304,3.79316,1.93035,0.00160099,0.00160099,0.00160099
6,105.277,1.83546,2.4633,1.70486,0.47508,0.41496,0.41231,0.19352,2.02363,4.07501,1.79016,0.00158448,0.00158448,0.00158448
7,113.203,1.71776,2.30108,1.69915,0.53742,0.47464,0.46456,0.19669,2.07841,3.05389,1.84844,0.00156798,0.00156798,0.00156798
8,122.607,1.74178,2.1722,1.67983,0.46724,0.46935,0.41807,0.17716,2.04305,3.68092,1.8189,0.00155148,0.00155148,0.00155148
9,132.491,1.7289,2.15113,1.71799,0.51598,0.3823,0.40905,0.18295,2.0168,3.70552,1.7922,0.00153497,0.00153497,0.00153497
10,143.616,1.69787,2.10333,1.69943,0.42547,0.47323,0.36772,0.16656,1.99546,3.73957,1.83645,0.00151847,0.00151847,0.00151847
11,155.299,1.64409,1.96743,1.65035,0.43057,0.54328,0.51349,0.21358,1.99806,2.67922,1.86905,0.00150197,0.00150197,0.00150197
12,168.711,1.67417,1.9385,1.65043,0.52873,0.44393,0.46283,0.20612,1.96026,2.60003,1.85204,0.00148546,0.00148546,0.00148546
13,178.698,1.59171,1.75501,1.57176,0.58838,0.49876,0.54914,0.23729,1.94102,2.25111,1.77678,0.00146896,0.00146896,0.00146896
14,188.373,1.62674,1.75443,1.62896,0.68484,0.49698,0.55676,0.24179,1.96213,2.16923,1.90659,0.00145246,0.00145246,0.00145246
15,197.184,1.6663,1.8037,1.65742,0.57158,0.43508,0.46619,0.22779,1.95383,2.12271,1.86196,0.00143595,0.00143595,0.00143595
16,208.446,1.6067,1.73324,1.65086,0.60119,0.43824,0.52383,0.2362,2.10418,2.22396,1.96516,0.00141945,0.00141945,0.00141945
17,219.766,1.57557,1.63979,1.61308,0.51023,0.51193,0.54912,0.23245,2.06092,2.03842,1.926,0.00140295,0.00140295,0.00140295
18,228.994,1.57979,1.62017,1.58384,0.63342,0.51557,0.54386,0.23276,1.98879,1.94042,1.90279,0.00138644,0.00138644,0.00138644
19,242.159,1.53897,1.5852,1.58173,0.57801,0.49714,0.53585,0.23789,1.87733,2.00466,1.85721,0.00136994,0.00136994,0.00136994
20,259.057,1.56856,1.59215,1.60223,0.52788,0.53815,0.53017,0.25769,1.88827,2.14948,1.74989,0.00135344,0.00135344,0.00135344
21,275.374,1.62102,1.64691,1.62499,0.5246,0.589,0.58284,0.26297,1.91516,1.83037,1.82749,0.00133693,0.00133693,0.00133693
22,289.505,1.55259,1.52239,1.59912,0.60097,0.58581,0.59861,0.26605,1.92429,1.8998,1.77277,0.00132043,0.00132043,0.00132043
23,301.229,1.45618,1.41713,1.51185,0.60392,0.54722,0.58657,0.26594,1.91212,1.84671,1.74073,0.00130393,0.00130393,0.00130393
24,316.463,1.54822,1.45029,1.54977,0.59879,0.53264,0.56938,0.26464,1.95808,1.78846,1.80436,0.00128742,0.00128742,0.00128742
25,329.273,1.55783,1.45267,1.51812,0.79614,0.49684,0.6209,0.28581,1.86025,1.81211,1.64264,0.00127092,0.00127092,0.00127092
26,346.493,1.46794,1.38665,1.48047,0.7701,0.47106,0.58138,0.28842,1.8843,1.64933,1.72107,0.00125442,0.00125442,0.00125442
27,355.873,1.50055,1.39888,1.50158,0.59953,0.56287,0.58109,0.28168,1.90486,1.61434,1.71263,0.00123791,0.00123791,0.00123791
28,367.754,1.52496,1.47106,1.56098,0.65433,0.64334,0.64644,0.29826,1.90145,1.55742,1.72108,0.00122141,0.00122141,0.00122141
29,379.314,1.46337,1.32551,1.48658,0.70167,0.56028,0.63791,0.28804,1.94504,1.61469,1.82032,0.00120491,0.00120491,0.00120491
30,392.184,1.49807,1.4264,1.54328,0.63548,0.56832,0.59178,0.2857,1.9154,1.62925,1.82052,0.0011884,0.0011884,0.0011884
31,406.019,1.42557,1.33276,1.516,0.62979,0.56985,0.59884,0.26928,1.94725,1.66455,1.82936,0.0011719,0.0011719,0.0011719
32,418.385,1.51145,1.40766,1.54214,0.68213,0.56291,0.62998,0.29407,2.04597,1.56709,1.83607,0.0011554,0.0011554,0.0011554
33,427.832,1.48049,1.2869,1.49004,0.7004,0.5517,0.65367,0.30725,1.93448,1.64235,1.80532,0.00113889,0.00113889,0.00113889
34,437.728,1.47226,1.28921,1.50142,0.67481,0.59151,0.62459,0.30201,1.88674,1.49729,1.73772,0.00112239,0.00112239,0.00112239
35,451.567,1.47679,1.31074,1.52766,0.64597,0.5756,0.60482,0.29848,1.89864,1.52563,1.74483,0.00110589,0.00110589,0.00110589
36,460.77,1.39704,1.24065,1.49011,0.6985,0.49746,0.5745,0.27827,1.96223,1.62257,1.81195,0.00108938,0.00108938,0.00108938
37,471.556,1.41177,1.26318,1.4842,0.71343,0.55962,0.61728,0.30139,1.8552,1.50825,1.74173,0.00107288,0.00107288,0.00107288
38,482.327,1.42268,1.26923,1.48229,0.65858,0.50205,0.5678,0.27397,1.91352,1.58936,1.77391,0.00105638,0.00105638,0.00105638
39,495.957,1.42209,1.23741,1.45858,0.64598,0.53416,0.57958,0.2826,1.90125,1.54307,1.78866,0.00103987,0.00103987,0.00103987
40,503.284,1.36242,1.20238,1.45949,0.57717,0.58899,0.53928,0.25619,2.0865,1.85389,2.00831,0.00102337,0.00102337,0.00102337
41,514.924,1.42851,1.22142,1.44118,0.63132,0.56676,0.61452,0.3148,1.91982,1.41695,1.83895,0.00100687,0.00100687,0.00100687
42,527.506,1.43286,1.2584,1.48449,0.68249,0.54323,0.61788,0.29091,1.98968,1.44848,1.86219,0.000990365,0.000990365,0.000990365
43,537.863,1.41606,1.19637,1.45285,0.71968,0.53475,0.61387,0.30949,1.90811,1.54067,1.79168,0.000973861,0.000973861,0.000973861
44,550.45,1.33002,1.14184,1.42601,0.67378,0.56287,0.61098,0.31064,1.89183,1.44907,1.73651,0.000957358,0.000957358,0.000957358
45,561.238,1.35322,1.12192,1.4187,0.71442,0.59473,0.64658,0.29846,2.01671,1.57035,1.9,0.000940855,0.000940855,0.000940855
46,572.211,1.36625,1.12954,1.44266,0.7239,0.56676,0.65684,0.32136,1.92401,1.42192,1.82033,0.000924352,0.000924352,0.000924352
47,584.58,1.395,1.15528,1.47815,0.71131,0.56808,0.63699,0.30809,1.82658,1.40738,1.72111,0.000907848,0.000907848,0.000907848
48,595.509,1.34255,1.14499,1.4596,0.69664,0.5883,0.61991,0.29738,1.85566,1.37243,1.77629,0.000891345,0.000891345,0.000891345
49,606.932,1.34505,1.12942,1.4292,0.69257,0.52558,0.59217,0.2805,1.93115,1.399,1.82297,0.000874842,0.000874842,0.000874842
50,622.099,1.33934,1.06489,1.38066,0.70709,0.61538,0.62962,0.31023,1.91823,1.37556,1.79695,0.000858338,0.000858338,0.000858338
51,633.661,1.38958,1.13321,1.42513,0.66095,0.5989,0.62573,0.2913,2.08535,1.49402,2.00187,0.000841835,0.000841835,0.000841835
52,644.221,1.32292,1.08686,1.4421,0.74114,0.55601,0.61497,0.3105,1.98804,1.38805,1.90101,0.000825332,0.000825332,0.000825332
53,655.442,1.25257,1.04484,1.38262,0.74494,0.52357,0.60437,0.29635,1.87371,1.39794,1.71581,0.000808828,0.000808828,0.000808828
54,666.148,1.35389,1.09982,1.41055,0.69298,0.56476,0.60139,0.3065,1.90041,1.36472,1.79299,0.000792325,0.000792325,0.000792325
55,678.865,1.3932,1.10271,1.43809,0.67721,0.60534,0.63725,0.31093,1.82949,1.34031,1.76354,0.000775822,0.000775822,0.000775822
56,689.155,1.30997,1.09539,1.41463,0.68629,0.58311,0.64063,0.31251,1.87509,1.38942,1.78419,0.000759318,0.000759318,0.000759318
57,700.583,1.25758,1.0469,1.40593,0.71565,0.5864,0.65301,0.33275,1.85678,1.35869,1.73393,0.000742815,0.000742815,0.000742815
58,710.364,1.29362,1.02725,1.37154,0.73992,0.58181,0.62706,0.31738,1.89471,1.40707,1.77768,0.000726312,0.000726312,0.000726312
59,719.368,1.29109,1.07686,1.44031,0.68344,0.52905,0.59999,0.29829,1.82078,1.35887,1.71077,0.000709809,0.000709809,0.000709809
60,729.884,1.3008,1.05322,1.43146,0.74843,0.55825,0.64741,0.31013,1.91793,1.38226,1.851,0.000693305,0.000693305,0.000693305
61,737.403,1.34528,1.10087,1.43649,0.70619,0.59169,0.65362,0.32719,1.86753,1.35957,1.80156,0.000676802,0.000676802,0.000676802
62,744.901,1.25583,1.0373,1.38347,0.59791,0.59757,0.60446,0.31308,1.96196,1.42013,1.85826,0.000660299,0.000660299,0.000660299
63,754.951,1.30026,1.03498,1.39821,0.69811,0.57738,0.60974,0.32029,1.90169,1.39605,1.79699,0.000643795,0.000643795,0.000643795
64,763.372,1.2273,0.98365,1.35614,0.72247,0.56676,0.65265,0.30948,2.01337,1.36875,1.88446,0.000627292,0.000627292,0.000627292
65,773.106,1.26514,1.02528,1.38551,0.65246,0.5871,0.63298,0.33706,1.91853,1.32215,1.82536,0.000610789,0.000610789,0.000610789
66,784.687,1.21059,0.95432,1.33977,0.67712,0.60405,0.62406,0.31871,1.81919,1.33509,1.70653,0.000594286,0.000594286,0.000594286
67,792.031,1.27425,0.95532,1.35571,0.73874,0.58969,0.67946,0.3373,1.8394,1.34986,1.76675,0.000577782,0.000577782,0.000577782
68,800.226,1.27324,0.9965,1.34139,0.67872,0.61522,0.64977,0.32363,1.87787,1.30591,1.80874,0.000561279,0.000561279,0.000561279
69,808.978,1.26901,0.98779,1.37767,0.68573,0.65839,0.67378,0.33583,1.89633,1.33963,1.82659,0.000544776,0.000544776,0.000544776
70,819.28,1.18967,0.9551,1.33729,0.65357,0.6204,0.64079,0.32162,1.89582,1.35856,1.7963,0.000528272,0.000528272,0.000528272
71,827.658,1.18857,0.92869,1.30704,0.66903,0.6211,0.65906,0.31649,1.90536,1.33824,1.82968,0.000511769,0.000511769,0.000511769
72,836.097,1.17505,0.92328,1.32491,0.73345,0.62558,0.67359,0.32874,1.88477,1.29268,1.79322,0.000495266,0.000495266,0.000495266
73,842.723,1.18442,0.92777,1.29876,0.65485,0.59876,0.63072,0.31645,1.88512,1.39184,1.78213,0.000478762,0.000478762,0.000478762
74,850.393,1.186,0.92559,1.34633,0.70176,0.63157,0.64438,0.32396,1.87602,1.26692,1.76321,0.000462259,0.000462259,0.000462259
75,860.058,1.17323,0.94163,1.33363,0.58498,0.63059,0.62086,0.31642,1.96912,1.27896,1.84192,0.000445756,0.000445756,0.000445756
76,868.274,1.24049,0.994,1.34246,0.6693,0.64134,0.64741,0.33099,1.86549,1.26315,1.75075,0.000429253,0.000429253,0.000429253
77,876.178,1.20455,0.94803,1.33708,0.72167,0.62081,0.66805,0.34036,1.8532,1.24985,1.76457,0.000412749,0.000412749,0.000412749
78,883.73,1.24361,0.96385,1.32487,0.70782,0.6083,0.64003,0.32996,1.85413,1.24828,1.75887,0.000396246,0.000396246,0.000396246
79,891.106,1.19932,0.93599,1.29904,0.72603,0.60534,0.65518,0.33673,1.8401,1.27977,1.75355,0.000379743,0.000379743,0.000379743
80,900.755,1.17136,0.90766,1.31316,0.71531,0.61138,0.67411,0.33685,1.86172,1.29612,1.80125,0.000363239,0.000363239,0.000363239
81,910.366,1.19763,0.89976,1.31491,0.6928,0.62882,0.63965,0.33125,1.80453,1.28522,1.7418,0.000346736,0.000346736,0.000346736
