epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,190.944,1.358,1.06082,1.29678,0.64574,0.5707,0.56978,0.26388,1.90319,1.2702,1.67288,0.000990365,0.000990365,0.000990365
43,193.745,1.34396,1.02977,1.25689,0.64227,0.56639,0.58818,0.26041,1.92696,1.19853,1.69791,0.000973861,0.000973861,0.000973861
44,196.623,1.29093,0.99389,1.22042,0.68763,0.57445,0.61654,0.27504,1.83648,1.20547,1.62872,0.000957358,0.000957358,0.000957358
45,200.121,1.33265,1.07911,1.27265,0.65034,0.51783,0.55737,0.25813,1.85672,1.19721,1.58398,0.000940855,0.000940855,0.000940855
46,203.871,1.4204,1.10717,1.29736,0.65662,0.55758,0.58083,0.26729,1.91429,1.33008,1.67757,0.000924352,0.000924352,0.000924352
47,206.839,1.38168,1.04511,1.28545,0.68691,0.50453,0.58159,0.27139,1.85336,1.18039,1.64066,0.000907848,0.000907848,0.000907848
48,210.114,1.37076,1.03334,1.26288,0.67882,0.56158,0.60539,0.26815,1.86992,1.20426,1.66537,0.000891345,0.000891345,0.000891345
49,212.979,1.32409,1.02559,1.27268,0.72714,0.53096,0.59519,0.2733,2.00302,1.20679,1.83992,0.000874842,0.000874842,0.000874842
50,215.827,1.31371,0.9944,1.24397,0.74722,0.50394,0.60958,0.27326,1.99061,1.32628,1.87638,0.000858338,0.000858338,0.000858338
51,219.733,1.32983,1.04409,1.26276,0.62512,0.56096,0.56035,0.24912,2.08415,1.37533,1.99781,0.000841835,0.000841835,0.000841835
52,222.894,1.32182,1.00392,1.23103,0.69746,0.47216,0.58022,0.27053,2.06876,1.16195,1.99355,0.000825332,0.000825332,0.000825332
53,225.841,1.2309,0.9532,1.20881,0.65514,0.56927,0.5994,0.26794,2.09696,1.18063,1.95508,0.000808828,0.000808828,0.000808828
54,228.914,1.26058,0.96988,1.22786,0.7556,0.58422,0.63812,0.30586,1.97556,1.17517,1.73538,0.000792325,0.000792325,0.000792325
55,232.745,1.33455,1.01768,1.25806,0.76246,0.58111,0.63427,0.27589,1.99212,1.25333,1.74214,0.000775822,0.000775822,0.000775822
