epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,247.19,1.50762,1.17171,1.35336,0.67431,0.48279,0.5163,0.25587,1.7327,1.56964,1.60636,0.00132868,0.00132868,0.00132868
43,254.312,1.4814,1.18938,1.39674,0.69973,0.51802,0.53924,0.27468,1.61875,1.30675,1.52237,0.00132043,0.00132043,0.00132043
44,260.209,1.42263,1.12931,1.35776,0.63596,0.47792,0.53256,0.29257,1.57936,1.19681,1.46754,0.00131218,0.00131218,0.00131218
45,267.425,1.44619,1.17771,1.33224,0.68576,0.49884,0.53599,0.29261,1.59709,1.32081,1.47257,0.00130393,0.00130393,0.00130393
46,273.308,1.46743,1.1803,1.3455,0.54428,0.4838,0.48762,0.24923,1.71182,1.63674,1.54312,0.00129568,0.00129568,0.00129568
47,279.157,1.40984,1.12697,1.32337,0.75112,0.52288,0.57191,0.29008,1.64826,1.23348,1.53374,0.00128742,0.00128742,0.00128742
48,283.95,1.38201,1.06619,1.30132,0.72179,0.48743,0.5535,0.27391,1.74013,1.29851,1.60113,0.00127917,0.00127917,0.00127917
49,288.196,1.37258,1.11371,1.30145,0.79423,0.48495,0.54712,0.28372,1.62062,1.23975,1.50036,0.00127092,0.00127092,0.00127092
50,292.673,1.40418,1.07695,1.30635,0.72887,0.52315,0.56764,0.2953,1.62599,1.15955,1.4882,0.00126267,0.00126267,0.00126267
51,297.162,1.38163,1.10704,1.31256,0.72001,0.47967,0.54849,0.28109,1.54997,1.23721,1.4909,0.00125442,0.00125442,0.00125442
52,301.492,1.40008,1.10407,1.30396,0.78292,0.52431,0.56346,0.28935,1.55963,1.13963,1.48428,0.00124617,0.00124617,0.00124617
53,306.029,1.38451,1.07554,1.29892,0.74201,0.52275,0.58303,0.30372,1.56298,1.16658,1.48768,0.00123791,0.00123791,0.00123791
54,310.586,1.3762,1.08157,1.30959,0.70885,0.50572,0.55226,0.28086,1.64853,1.18699,1.55997,0.00122966,0.00122966,0.00122966
55,314.956,1.42355,1.11277,1.30522,0.63395,0.53356,0.54116,0.2896,1.50418,1.32447,1.49292,0.00122141,0.00122141,0.00122141
56,319.383,1.42386,1.14468,1.35267,0.68173,0.51176,0.52849,0.26717,1.7402,1.26342,1.63747,0.00121316,0.00121316,0.00121316
57,323.423,1.3947,1.09873,1.31737,0.74316,0.54167,0.57172,0.28014,1.64787,1.34015,1.53277,0.00120491,0.00120491,0.00120491
58,327.348,1.34257,1.01588,1.24276,0.76473,0.537,0.58597,0.296,1.58337,1.22073,1.47703,0.00119666,0.00119666,0.00119666
59,331.486,1.36271,1.06782,1.27298,0.70068,0.56333,0.57599,0.2815,1.63039,1.14775,1.52358,0.0011884,0.0011884,0.0011884
60,336.16,1.34985,1.05699,1.28346,0.68818,0.53839,0.55797,0.28649,1.66054,1.18058,1.53219,0.00118015,0.00118015,0.00118015
61,340.335,1.37801,1.0647,1.31332,0.7364,0.53673,0.55984,0.2692,1.58315,1.20093,1.52926,0.0011719,0.0011719,0.0011719
62,344.551,1.36774,1.0982,1.3391,0.78041,0.48185,0.54384,0.2797,1.61085,1.15711,1.52677,0.00116365,0.00116365,0.00116365
63,349.337,1.35827,1.04229,1.28401,0.73349,0.51736,0.5705,0.28684,1.57607,1.11672,1.50293,0.0011554,0.0011554,0.0011554
64,353.707,1.43006,1.13493,1.33681,0.66867,0.48226,0.51004,0.25411,1.77464,1.50063,1.63171,0.00114715,0.00114715,0.00114715
65,358.001,1.40445,1.08473,1.33649,0.82632,0.46775,0.53885,0.29012,1.61431,1.21606,1.48877,0.00113889,0.00113889,0.00113889
66,362.05,1.33628,1.0731,1.29979,0.79598,0.52083,0.57614,0.30001,1.65449,1.088,1.50421,0.00113064,0.00113064,0.00113064
